Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-0.01,-0.48,-0.56,1.05,0.61,-,-,-,-,-,-,-,-
KOTA MEULABOH,-0.45,0.48,0.1,-0.02,0.64,-,-,-,-,-,-,-,-
KAB ACEH TAMIANG,0.26,-1.64,0.46,-0.19,0.42,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,-0.81,0.42,0.12,0.13,0.93,-,-,-,-,-,-,-,-
KOTA LHOKSEUMAWE,0.86,-0.05,0.11,0.07,0.03,-,-,-,-,-,-,-,-
KAB LABUHANBATU,-0.83,0.79,-0.57,0.72,0.95,-,-,-,-,-,-,-,-
KAB KARO,0.03,-0.02,-0.38,0.54,1.27,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-1.3,-0.08,-0.26,0.35,1.52,-,-,-,-,-,-,-,-
KOTA SIBOLGA,-0.26,0.66,-0.2,-0.17,0.87,-,-,-,-,-,-,-,-
KOTA PEMATANG SIANTAR,-0.11,0.57,-0.02,0.19,1.29,-,-,-,-,-,-,-,-
KOTA MEDAN,-0.62,0.33,-0.01,0.51,0.52,-,-,-,-,-,-,-,-
KOTA PADANGSIDIMPUAN,-0.32,-0.01,-0.01,-0.19,1.17,-,-,-,-,-,-,-,-
KOTA GUNUNGSITOLI,-2.37,-0.87,-0.43,-0.32,0.5,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-0.92,0.85,0.44,0.67,0.91,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-1.84,-0.13,-0.05,-0.02,1.03,-,-,-,-,-,-,-,-
KOTA PADANG,-1.02,0.32,-0.02,0.51,0.92,-,-,-,-,-,-,-,-
KOTA BUKITTINGGI,-0.73,0.5,0.16,0.17,0.44,-,-,-,-,-,-,-,-
TEMBILAHAN,-0.24,0.94,0.17,-0.1,0.15,-,-,-,-,-,-,-,-
KAB KAMPAR,-0.66,0.32,-0.23,-0.06,1.28,-,-,-,-,-,-,-,-
KOTA PEKANBARU,-0.35,0.24,-0.19,0.31,0.56,-,-,-,-,-,-,-,-
KOTA DUMAI,-0.42,0.5,-0.28,0.15,0.54,-,-,-,-,-,-,-,-
KAB KERINCI,-1.31,1.07,1.28,-0.19,0.25,-,-,-,-,-,-,-,-
BUNGO,-0.17,0.93,0.22,0.52,0.53,-,-,-,-,-,-,-,-
KOTA JAMBI,-0.25,0.38,-0.22,0.37,0.94,-,-,-,-,-,-,-,-
KAB OGAN KOMERING ILIR,0.08,0.6,0.36,-0.06,0.47,-,-,-,-,-,-,-,-
KAB MUARA ENIM,0.06,0.64,0.24,-0.18,0.77,-,-,-,-,-,-,-,-
KOTA PALEMBANG,0.05,0.58,0.28,-0.04,0.61,-,-,-,-,-,-,-,-
KOTA LUBUKLINGGAU,0.03,0.41,0.27,0.15,0.83,-,-,-,-,-,-,-,-
KAB MUKO MUKO,-0.87,0.85,0.81,-0.07,0.83,-,-,-,-,-,-,-,-
KOTA BENGKULU,-0.72,0.6,0.1,0.48,0.87,-,-,-,-,-,-,-,-
KAB LAMPUNG TIMUR,-0.4,0.15,0.04,0.75,0.59,-,-,-,-,-,-,-,-
KAB MESUJI,-0.51,0.33,0.8,0.77,0.59,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,0.18,0.44,0.2,0.47,0.93,-,-,-,-,-,-,-,-
KOTA METRO,-0.34,0.48,0.17,0.17,1.13,-,-,-,-,-,-,-,-
TANJUNG PANDAN,0.81,-1.56,0.18,0.78,0.36,-,-,-,-,-,-,-,-
KAB BANGKA BARAT,0.36,-0.77,0.92,0.42,-0.62,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,0.03,-0.01,0.31,0.36,0.17,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,0.11,-0.44,0.21,0.23,0.33,-,-,-,-,-,-,-,-
KAB KARIMUN,-0.67,0.01,0.56,-0.25,0.63,-,-,-,-,-,-,-,-
KOTA BATAM,-0.04,0.4,0.11,0.51,0.33,-,-,-,-,-,-,-,-
KOTA TANJUNG PINANG,-0.06,0.99,-0.37,0.38,0.59,-,-,-,-,-,-,-,-
DKI JAKARTA,-0.23,0.63,0.51,0.21,0.12,-,-,-,-,-,-,-,-
KAB BANDUNG,-0.15,0.96,0.59,-0.03,0.14,-,-,-,-,-,-,-,-
KAB MAJALENGKA,-0.11,0.85,0.62,-0.08,0.21,-,-,-,-,-,-,-,-
KAB SUBANG,-0.21,0.88,0.67,-0.28,0.22,-,-,-,-,-,-,-,-
KOTA BOGOR,-0.21,0.91,0.52,-0.06,0.24,-,-,-,-,-,-,-,-
KOTA SUKABUMI,-0.03,0.75,0.46,0.04,0.14,-,-,-,-,-,-,-,-
KOTA BANDUNG,-0.09,0.65,0.43,-0.02,0.3,-,-,-,-,-,-,-,-
KOTA CIREBON,-0.44,0.8,0.68,-0.06,0.39,-,-,-,-,-,-,-,-
KOTA BEKASI,0.07,0.83,0.39,-0.12,0.28,-,-,-,-,-,-,-,-
KOTA DEPOK,-0.16,0.65,0.63,-0.01,0.3,-,-,-,-,-,-,-,-
KOTA TASIKMALAYA,-0.05,0.97,0.44,-0.18,0.04,-,-,-,-,-,-,-,-
CILACAP,-0.42,0.8,0.7,-0.21,0.31,-,-,-,-,-,-,-,-
PURWOKERTO,-0.36,0.78,0.68,-0.07,0.28,-,-,-,-,-,-,-,-
KAB WONOSOBO,-0.51,0.76,0.92,-0.23,0.12,-,-,-,-,-,-,-,-
KAB WONOGIRI,-0.52,0.79,0.87,-0.25,0.3,-,-,-,-,-,-,-,-
KAB REMBANG,-0.29,0.83,0.53,-0.07,0.24,-,-,-,-,-,-,-,-
KUDUS,-0.26,0.74,0.47,0.02,0.31,-,-,-,-,-,-,-,-
KOTA SURAKARTA,-0.38,0.9,0.48,-0.1,0.31,-,-,-,-,-,-,-,-
KOTA SEMARANG,-0.25,0.67,0.37,0.17,0.16,-,-,-,-,-,-,-,-
KOTA TEGAL,-0.24,0.86,0.54,-0.09,0.14,-,-,-,-,-,-,-,-
KAB GUNUNGKIDUL,-0.17,0.66,0.55,0.17,0.12,-,-,-,-,-,-,-,-
KOTA YOGYAKARTA,-0.14,0.72,0.33,-0.01,0.2,-,-,-,-,-,-,-,-
KAB TULUNGAGUNG,-0.18,1.03,0.47,-0.18,0.19,-,-,-,-,-,-,-,-
JEMBER,-0.29,1.14,0.65,-0.44,0.19,-,-,-,-,-,-,-,-
BANYUWANGI,-0.21,0.94,0.37,-0.28,0.18,-,-,-,-,-,-,-,-
KAB BOJONEGORO,-0.33,0.91,0.65,-0.35,0.29,-,-,-,-,-,-,-,-
KAB GRESIK,-0.45,0.76,0.98,-0.4,0.17,-,-,-,-,-,-,-,-
SUMENEP,0.34,1.08,0.89,-0.4,0.16,-,-,-,-,-,-,-,-
KOTA KEDIRI,-0.37,0.87,0.41,-0.12,0.35,-,-,-,-,-,-,-,-
KOTA MALANG,-0.1,0.74,0.34,0.05,0.18,-,-,-,-,-,-,-,-
KOTA PROBOLINGGO,-0.03,1.12,0.69,-0.65,0.03,-,-,-,-,-,-,-,-
KOTA MADIUN,-0.23,0.74,0.49,-0.02,0.35,-,-,-,-,-,-,-,-
KOTA SURABAYA,-0.16,0.99,0.13,0.37,0.37,-,-,-,-,-,-,-,-
KAB PANDEGLANG,-0.5,1.64,1.05,-0.13,-0.16,-,-,-,-,-,-,-,-
KAB LEBAK,-0.34,1.52,0.62,-0.35,0.19,-,-,-,-,-,-,-,-
KOTA TANGERANG,-0.38,0.64,0.36,-0.11,-0.15,-,-,-,-,-,-,-,-
KOTA CILEGON,-0.12,0.85,0.24,0.31,0.21,-,-,-,-,-,-,-,-
KOTA SERANG,-0.16,0.73,0.31,0.1,0.51,-,-,-,-,-,-,-,-
KAB TABANAN,-0.21,0.48,0.63,-0.17,0.54,-,-,-,-,-,-,-,-
KAB BADUNG,-0.78,1.04,0.5,-0.17,0.25,-,-,-,-,-,-,-,-
SINGARAJA,-0.44,0.77,0.9,-0.08,0.37,-,-,-,-,-,-,-,-
KOTA DENPASAR,-0.13,0.57,0.42,0.19,0.5,-,-,-,-,-,-,-,-
KAB SUMBAWA,0.8,0.67,0.91,-0.52,-0.21,-,-,-,-,-,-,-,-
KOTA MATARAM,-0.21,0.96,0.85,0.11,-0.08,-,-,-,-,-,-,-,-
KOTA BIMA,0.61,0.91,0.29,0.28,0.26,-,-,-,-,-,-,-,-
WAINGAPU,1.45,0.69,0.04,0.52,-0.24,-,-,-,-,-,-,-,-
KAB TIMOR TENGAH SELATAN,1.4,0.03,0.38,0.97,-1.06,-,-,-,-,-,-,-,-
MAUMERE,1.69,0.16,0.02,0.3,-0.14,-,-,-,-,-,-,-,-
KAB NGADA,0.68,0.04,0.28,1.15,-0.01,-,-,-,-,-,-,-,-
KOTA KUPANG,0.14,0.71,0.23,0.09,0.02,-,-,-,-,-,-,-,-
DILI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KETAPANG,0.61,0.45,0.21,0.72,0.28,-,-,-,-,-,-,-,-
SINTANG,0.55,0.56,0.2,0.25,0.36,-,-,-,-,-,-,-,-
KAB KAYONG UTARA,0.18,0.36,0.37,0.43,0.24,-,-,-,-,-,-,-,-
KOTA PONTIANAK,0.07,0.57,0.17,0.59,0.43,-,-,-,-,-,-,-,-
KOTA SINGKAWANG,0.11,0.53,0.55,0.42,-0.13,-,-,-,-,-,-,-,-
SAMPIT,0.41,0.61,0.43,0.44,0.42,-,-,-,-,-,-,-,-
KAB KAPUAS,0.47,0.67,0.89,0.41,-0.32,-,-,-,-,-,-,-,-
KAB SUKAMARA,0.03,0.76,0.09,0.44,0.63,-,-,-,-,-,-,-,-
KOTA PALANGKA RAYA,0.36,0.17,0.44,0.4,0.7,-,-,-,-,-,-,-,-
KAB TANAH LAUT,-0.03,1.09,1.15,-0.09,0.21,-,-,-,-,-,-,-,-
KOTABARU,0.36,0.6,0.3,0.31,0.49,-,-,-,-,-,-,-,-
KAB HULU SUNGAI TENGAH,0.48,0.82,0.38,0.38,-0.17,-,-,-,-,-,-,-,-
TANJUNG,0.81,1.34,0.45,-0.11,-0.41,-,-,-,-,-,-,-,-
KOTA BANJARMASIN,0.13,0.76,0.35,-0.14,0.31,-,-,-,-,-,-,-,-
KAB BERAU,-0.32,0.15,0.76,0.5,0.16,-,-,-,-,-,-,-,-
KAB PENAJAM PASER UTARA,0.05,0.89,1.09,0.33,-0.06,-,-,-,-,-,-,-,-
KOTA BALIKPAPAN,-0.11,0.75,0.51,-0.05,0.27,-,-,-,-,-,-,-,-
KOTA SAMARINDA,0.26,0.56,0.86,0.11,0.11,-,-,-,-,-,-,-,-
TANJUNG SELOR,-0.43,0.56,0.41,0.23,0.39,-,-,-,-,-,-,-,-
KAB NUNUKAN,0.81,0.24,0.53,0.04,-0.03,-,-,-,-,-,-,-,-
KOTA TARAKAN,-0.15,0.58,0.63,-0.06,0.41,-,-,-,-,-,-,-,-
KAB MINAHASA SELATAN,0.37,1.5,0.41,1.4,-1.39,-,-,-,-,-,-,-,-
KAB MINAHASA UTARA,0.94,1.45,-0.35,0.94,-0.51,-,-,-,-,-,-,-,-
KOTA MANADO,0.79,0.75,0.32,0.89,-0.47,-,-,-,-,-,-,-,-
KOTA KOTAMOBAGU,-0.12,1.13,0.72,0.67,-0.34,-,-,-,-,-,-,-,-
LUWUK,0.07,0.92,0.37,0.63,0.79,-,-,-,-,-,-,-,-
KAB MOROWALI,-0.13,0.57,0.62,0.87,0.12,-,-,-,-,-,-,-,-
KAB TOLI TOLI,-0.85,1.59,0.3,0.48,0.63,-,-,-,-,-,-,-,-
KOTA PALU,0.24,0.66,0.33,0.38,0.11,-,-,-,-,-,-,-,-
BULUKUMBA,0.29,0.63,0.35,0.36,0.02,-,-,-,-,-,-,-,-
WATAMPONE,0.91,0.48,0.8,0.38,-0.02,-,-,-,-,-,-,-,-
KAB WAJO,0.34,1.08,0.93,-0.52,0.54,-,-,-,-,-,-,-,-
KAB SIDENRENG RAPPANG,1.39,0.96,0.36,0.05,-0.17,-,-,-,-,-,-,-,-
KAB LUWU TIMUR,0.34,0.63,1.07,-0.08,0.31,-,-,-,-,-,-,-,-
KOTA MAKASSAR,0.37,1.23,0.57,-0.07,0.06,-,-,-,-,-,-,-,-
KOTA PARE-PARE,0.47,0.65,0.49,-0.08,0.32,-,-,-,-,-,-,-,-
KOTA PALOPO,0.37,0.49,0.2,0.47,-0.05,-,-,-,-,-,-,-,-
KAB KONAWE,-0.06,0.28,1.14,0.46,0.9,-,-,-,-,-,-,-,-
KAB KOLAKA,1.82,1.05,0.78,-0.18,0.59,-,-,-,-,-,-,-,-
KOTA KENDARI,0.44,0.38,0.33,0.69,0.98,-,-,-,-,-,-,-,-
KOTA BAU-BAU,0.9,1.44,-0.75,0.96,1.13,-,-,-,-,-,-,-,-
KAB GORONTALO,0.68,0.91,0.17,1.02,-1.19,-,-,-,-,-,-,-,-
KOTA GORONTALO,-0.19,0.73,0.35,0.4,-0.68,-,-,-,-,-,-,-,-
KAB MAJENE,0.15,0.43,0.5,0.41,0.46,-,-,-,-,-,-,-,-
MAMUJU,1.58,0.07,-0.54,-0.02,-0.42,-,-,-,-,-,-,-,-
KAB MALUKU TENGAH,1.44,1.21,-1.4,-1.96,1.34,-,-,-,-,-,-,-,-
KOTA AMBON,0.15,0.3,-0.43,0.92,0.73,-,-,-,-,-,-,-,-
KOTA TUAL,2.35,-0.72,0.37,0.64,0.46,-,-,-,-,-,-,-,-
KAB HALMAHERA TENGAH,0.27,0.52,0.75,0.24,0.66,-,-,-,-,-,-,-,-
KOTA TERNATE,1.74,0.9,-0.82,0.94,-0.08,-,-,-,-,-,-,-,-
MANOKWARI,0.02,-0.65,0.05,2,0.56,-,-,-,-,-,-,-,-
KAB SORONG,-0.12,0.05,0.38,0.03,0.49,-,-,-,-,-,-,-,-
KAB SORONG SELATAN,0.2,-0.11,0.2,0.26,0.13,-,-,-,-,-,-,-,-
KOTA SORONG,0.29,-0.81,1.35,0.9,-0.18,-,-,-,-,-,-,-,-
KOTA JAYAPURA,-0.36,0.06,0.7,0.98,-0.68,-,-,-,-,-,-,-,-
MERAUKE,1.06,0.59,0.35,0.94,-0.5,-,-,-,-,-,-,-,-
TIMIKA,0.28,0.32,0.26,0.28,0.69,-,-,-,-,-,-,-,-
KAB NABIRE,-1.4,-0.71,0.27,0.05,0.21,-,-,-,-,-,-,-,-
KAB JAYAWIJAYA,-0.05,0.49,2.57,0.77,0.48,-,-,-,-,-,-,-,-
INDONESIA,-0.15,0.68,0.41,0.13,0.28,-,-,-,-,-,-,-,-