Tanggal,DXY
2003-01-01,100.8276
2003-02-01,99.8589
2003-03-01,99.751
2003-04-01,99.4048
2003-05-01,94.4357
2003-06-01,93.5414
2003-07-01,95.637
2003-08-01,97.2286
2003-09-01,95.8191
2003-10-01,92.0761
2003-11-01,91.9379
2003-12-01,88.4045
2004-01-01,86.4414
2004-02-01,86.3475
2004-03-01,88.4578
2004-04-01,89.8362
2004-05-01,90.549
2004-06-01,89.155
2004-07-01,88.3364
2004-08-01,88.8759
2004-09-01,88.6555
2004-10-01,86.8781
2004-11-01,83.5982
2004-12-01,81.5691
2005-01-01,83.1119
2005-02-01,83.7235
2005-03-01,82.8364
2005-04-01,84.2671
2005-05-01,85.6281
2005-06-01,88.4423
2005-07-01,89.6967
2005-08-01,87.9409
2005-09-01,88.08
2005-10-01,89.7219
2005-11-01,91.4919
2005-12-01,90.9162
2006-01-01,89.031
2006-02-01,90.3526
2006-03-01,89.967
2006-04-01,88.4095
2006-05-01,84.8573
2006-06-01,85.7659
2006-07-01,85.893
2006-08-01,85.0452
2006-09-01,85.6045
2006-10-01,86.3427
2006-11-01,84.8445
2006-12-01,83.3555
2007-01-01,84.7805
2007-02-01,84.4063
2007-03-01,83.4841
2007-04-01,82.15
2007-05-01,82.11
2007-06-01,82.4662
2007-07-01,80.7786
2007-08-01,80.9348
2007-09-01,79.3021
2007-10-01,77.8478
2007-11-01,75.669
2007-12-01,76.764
2008-01-01,75.9043
2008-02-01,75.6705
2008-03-01,72.4535
2008-04-01,72.1168
2008-05-01,72.9124
2008-06-01,73.1795
2008-07-01,72.5373
2008-08-01,76.0614
2008-09-01,78.2643
2008-10-01,83.1117
2008-11-01,86.4321
2008-12-01,83.105
2009-01-01,84.1225
2009-02-01,86.5526
2009-03-01,86.4582
2009-04-01,85.2514
2009-05-01,82.161
2009-06-01,80.0932
2009-07-01,79.4891
2009-08-01,78.4486
2009-09-01,77.0076
2009-10-01,76.0118
2009-11-01,75.337
2009-12-01,76.79
2010-01-01,77.8405
2010-02-01,80.1558
2010-03-01,80.6713
2010-04-01,81.2329
2010-05-01,85.3615
2010-06-01,86.575
2010-07-01,83.0705
2010-08-01,82.1491
2010-09-01,81.0833
2010-10-01,77.46
2010-11-01,78.3757
2010-12-01,80.0491
2011-01-01,79.146
2011-02-01,77.7826
2011-03-01,76.2896
2011-04-01,74.7245
2011-05-01,74.9414
2011-06-01,74.6936
2011-07-01,74.757
2011-08-01,74.2365
2011-09-01,76.9905
2011-10-01,77.1543
2011-11-01,77.8914
2011-12-01,79.6114
2012-01-01,80.268
2012-02-01,78.9315
2012-03-01,79.5368
2012-04-01,79.4015
2012-05-01,80.9255
2012-06-01,82.2205
2012-07-01,83.0676
2012-08-01,82.16
2012-09-01,79.8142
2012-10-01,79.7081
2012-11-01,80.6852
2012-12-01,79.7585
2013-01-01,79.8733
2013-02-01,80.6053
2013-03-01,82.6255
2013-04-01,82.525
2013-05-01,83.2136
2013-06-01,81.8505
2013-07-01,82.7895
2013-08-01,81.4818
2013-09-01,81.1595
2013-10-01,79.8665
2013-11-01,80.844
2013-12-01,80.3067
2014-01-01,80.8095
2014-02-01,80.4574
2014-03-01,79.8705
2014-04-01,79.8533
2014-05-01,79.949
2014-06-01,80.4424
2014-07-01,80.5477
2014-08-01,81.8638
2014-09-01,84.459
2014-10-01,85.6704
2014-11-01,87.7284
2014-12-01,89.1568
2015-01-01,92.977
2015-02-01,94.4579
2015-03-01,97.8782
2015-04-01,97.5919
2015-05-01,95.192
2015-06-01,95.17
2015-07-01,96.9623
2015-08-01,96.3781
2015-09-01,95.7581
2015-10-01,95.7141
2015-11-01,99.033
2015-12-01,98.3341
2016-01-01,99.023
2016-02-01,97.0955
2016-03-01,96.2595
2016-04-01,94.4038
2016-05-01,94.5219
2016-06-01,94.6723
2016-07-01,96.5725
2016-08-01,95.38
2016-09-01,95.4652
2016-10-01,97.739
2016-11-01,99.7055
2016-12-01,102.0133
2017-01-01,101.122
2017-02-01,100.6911
2017-03-01,100.7591
2017-04-01,100.0453
2017-05-01,98.2686
2017-06-01,96.9486
2017-07-01,94.861
2017-08-01,93.1761
2017-09-01,92.324
2017-10-01,93.7195
2017-11-01,93.9971
2017-12-01,93.388
2018-01-01,90.7448
2018-02-01,89.7305
2018-03-01,89.8762
2018-04-01,90.2933
2018-05-01,93.2995
2018-06-01,94.3771
2018-07-01,94.5976
2018-08-01,95.4817
2018-09-01,94.7395
2018-10-01,95.8526
2018-11-01,96.7614
2018-12-01,96.8758
2019-01-01,95.9376
2019-02-01,96.4584
2019-03-01,96.7829
2019-04-01,97.3586
2019-05-01,97.7418
2019-06-01,96.8045
2019-07-01,97.3659
2019-08-01,98.0045
2019-09-01,98.6
2019-10-01,98.173
2019-11-01,98.065
2019-12-01,97.3767
2020-01-01,97.4362
2020-02-01,98.8432
2020-03-01,98.835
2020-04-01,99.9129
2020-05-01,99.553
2020-06-01,97.0877
2020-07-01,95.5141
2020-08-01,93.0443
2020-09-01,93.4371
2020-10-01,93.4064
2020-11-01,92.6195
2020-12-01,90.5127
2021-01-01,90.2263
2021-02-01,90.6516
2021-03-01,92.0091
2021-04-01,91.5876
2021-05-01,90.318
2021-06-01,91.0391
2021-07-01,92.5229
2021-08-01,92.8
2021-09-01,92.9924
2021-10-01,93.9514
2021-11-01,95.271
2021-12-01,96.19
2022-01-01,95.9665
2022-02-01,95.9968
2022-03-01,98.467
2022-04-01,100.7085
2022-05-01,103.1676
2022-06-01,103.8443
2022-07-01,107.0335
2022-08-01,107.1496
2022-09-01,110.7433
2022-10-01,111.9414
2022-11-01,108.14
2022-12-01,104.5029
2023-01-01,102.712
2023-02-01,103.66
2023-03-01,103.7674
2023-04-01,101.7642
2023-05-01,102.7014
2023-06-01,103.1119
2023-07-01,101.3275
2023-08-01,103.0965
2023-09-01,105.3315
2023-10-01,106.3532
2023-11-01,104.5281
2023-12-01,102.683
2024-01-01,102.9748
2024-02-01,104.1045
2024-03-01,103.624
2024-04-01,105.4118
2024-05-01,104.965
2024-06-01,105.1668
2024-07-01,104.6105
2024-08-01,102.2127
2024-09-01,101.0185
2024-10-01,103.3113
2024-11-01,105.8435
2024-12-01,107.19
2025-01-01,108.609
2025-02-01,107.3532
2025-03-01,104.1871
2025-04-01,100.7176
2025-05-01,100.0832
2025-06-01,98.361
2025-07-01,98.0027
2025-08-01,98.24
2025-09-01,97.6857
2025-10-01,98.7652
2025-11-01,99.7474
2025-12-01,98.5427
2026-01-01,98.209
2026-02-01,97.4553
2026-03-01,99.4823
2026-04-01,98.7252
2026-05-01,98.7165
