Date,Adj Close,Close,High,Low,Open,Volume
2026-01-02,16668.0,16668.0,16727.5,16668.0,16668.0,0
2026-01-05,16683.0,16683.0,16755.5,16696.0,16696.0,0
2026-01-06,16727.19921875,16727.19921875,16777.599609375,16727.19921875,16727.19921875,0
2026-01-07,16742.0,16742.0,16784.400390625,16733.599609375,16742.0,0
2026-01-08,16753.0,16753.0,16842.599609375,16752.900390625,16753.0,0
2026-01-09,16805.69921875,16805.69921875,16857.5,16701.599609375,16805.69921875,0
2026-01-12,16826.69921875,16826.69921875,16902.900390625,16828.0,16836.0,0
2026-01-13,16859.400390625,16859.400390625,16883.400390625,16781.69921875,16859.400390625,0
2026-01-14,16840.80078125,16840.80078125,16876.0,16832.5,16840.80078125,0
2026-01-15,16845.099609375,16845.099609375,16910.19921875,16836.80078125,16845.099609375,0
2026-01-16,16878.900390625,16878.900390625,16920.599609375,16866.30078125,16878.900390625,0
2026-01-19,16876.599609375,16876.599609375,17003.599609375,16884.0,16902.0,0
2026-01-20,16939.0,16939.0,16993.30078125,16897.5,16939.0,0
2026-01-21,16960.099609375,16960.099609375,16969.30078125,16878.599609375,16960.099609375,0
2026-01-22,16897.0,16897.0,16913.0,16832.19921875,16897.0,0
2026-01-23,16820.0,16820.0,16852.900390625,16770.30078125,16820.0,0
2026-01-26,16770.0,16770.0,16786.30078125,16720.5,16770.0,0
2026-01-27,16734.0,16734.0,16811.0,16675.099609375,16734.0,0
2026-01-28,16674.69921875,16674.69921875,16766.0,16663.30078125,16674.69921875,0
2026-01-29,16722.80078125,16722.80078125,16816.5,16722.80078125,16722.80078125,0
2026-01-30,16778.30078125,16778.30078125,16811.80078125,16757.69921875,16778.30078125,0
2026-02-02,16758.400390625,16758.400390625,16809.599609375,16759.900390625,16767.0,0
2026-02-03,16758.400390625,16758.400390625,16779.69921875,16716.0,16758.400390625,0
2026-02-04,16759.0,16759.0,16812.599609375,16752.0,16759.0,0
2026-02-05,16800.0,16800.0,16895.0,16765.0,16800.0,0
2026-02-06,16879.900390625,16879.900390625,16895.80078125,16839.0,16879.900390625,0
2026-02-09,16843.5,16843.5,16867.0,16783.0,16859.0,0
2026-02-10,16796.0,16796.0,16813.400390625,16743.0,16796.0,0
2026-02-11,16778.0,16778.0,16821.0,16757.0,16778.0,0
2026-02-12,16793.900390625,16793.900390625,16839.0,16793.900390625,16793.900390625,0
2026-02-13,16809.0,16809.0,16847.0,16799.0,16809.0,0
2026-02-16,16826.099609375,16826.099609375,16837.0,16800.30078125,16826.0,0
2026-02-17,16806.599609375,16806.599609375,16844.0,16806.599609375,16806.599609375,0
2026-02-18,16840.0,16840.0,16899.0,16840.0,16840.0,0
2026-02-19,16915.30078125,16915.30078125,16949.0,16868.0,16915.30078125,0
2026-02-20,16887.19921875,16887.19921875,16920.0,16843.0,16899.0,0
2026-02-23,16843.400390625,16843.400390625,16867.0,16788.0,16856.0,0
2026-02-24,16804.30078125,16804.30078125,16858.0,16733.91015625,16826.0,0
2026-02-25,16816.80078125,16816.80078125,16854.0,16745.849609375,16816.80078125,0
2026-02-26,16749.80078125,16749.80078125,16780.0,16739.0,16749.80078125,0
2026-02-27,16749.0,16749.0,16836.0,16749.0,16749.0,0
2026-03-02,16795.0,16795.0,16891.0,16800.0,16800.0,0
2026-03-03,16863.0,16863.0,17005.0,16848.0,16863.0,0
2026-03-04,16898.099609375,16898.099609375,16951.0,16837.0,16898.099609375,0
2026-03-05,16865.0,16865.0,16951.0,16829.19921875,16865.0,0
2026-03-06,16913.099609375,16913.099609375,16994.0,16801.5703125,16913.099609375,0
2026-03-09,16923.69921875,16923.69921875,17012.0,16915.400390625,16933.0,0
2026-03-10,16886.0,16886.0,16894.0,16815.0,16884.0,0
2026-03-11,16852.0,16852.0,16905.0,16844.0,16852.0,0
2026-03-12,16884.0,16884.0,16908.0,16872.69921875,16884.099609375,0
2026-03-13,16908.0,16908.0,16975.0,16887.5,16908.0,0
2026-03-16,16952.099609375,16952.099609375,17009.0,16950.0,16953.0,0
2026-03-17,16953.099609375,16953.099609375,16994.5,16946.0,16955.0,0
2026-03-18,16971.30078125,16971.30078125,16994.0,16887.0,16960.0,0
2026-03-19,17041.69921875,17041.69921875,17041.69921875,16900.0,17041.69921875,0
2026-03-20,16915.900390625,16915.900390625,16954.0,16885.0,16915.900390625,0
2026-03-23,16959.30078125,16959.30078125,17012.0,16849.099609375,16969.0,0
2026-03-24,16865.099609375,16865.099609375,16952.5,16825.0,16865.099609375,0
2026-03-25,16797.30078125,16797.30078125,16928.0,16797.30078125,16797.30078125,0
2026-03-26,16749.599609375,16749.599609375,16915.0,16749.599609375,16749.599609375,0
2026-03-27,16925.0,16925.0,16985.099609375,16918.0,16925.0,0
2026-03-30,16958.0,16958.0,17028.0,16952.0,16958.0,0
2026-03-31,16975.400390625,16975.400390625,17056.900390625,16882.0,16975.400390625,0
2026-04-01,16936.400390625,16936.400390625,17017.0,16890.0,16936.400390625,0
2026-04-02,16924.099609375,16924.099609375,17026.30078125,16898.69921875,16924.099609375,0
2026-04-03,16959.0,16959.0,17023.0,16920.69921875,16965.0,0
2026-04-06,16988.0,16988.0,17060.0,16967.900390625,16988.0,0
2026-04-07,17015.30078125,17015.30078125,17101.0,17015.30078125,17015.30078125,0
2026-04-08,17027.400390625,17027.400390625,17041.0,16930.0,17027.400390625,0
2026-04-09,17005.5,17005.5,17098.30078125,16966.900390625,17005.5,0
2026-04-10,17059.0,17059.0,17116.0,17030.80078125,17059.0,0
2026-04-13,17083.0,17083.0,17181.69921875,17083.0,17083.0,0
2026-04-14,17079.19921875,17079.19921875,17140.599609375,17079.19921875,17079.19921875,0
2026-04-15,17129.0,17129.0,17174.0,17105.099609375,17129.0,0
2026-04-16,17146.099609375,17146.099609375,17162.0,17110.80078125,17146.099609375,0
2026-04-17,17123.0,17123.0,17190.900390625,16512.80078125,17123.0,0
2026-04-20,17133.0,17133.0,17176.599609375,17096.30078125,17133.0,0
2026-04-21,17123.80078125,17123.80078125,17151.0,17070.69921875,17123.80078125,0
2026-04-22,17133.099609375,17133.099609375,17226.0,17127.80078125,17133.099609375,0
2026-04-23,17199.5,17199.5,17307.099609375,17199.5,17199.5,0
2026-04-24,17329.0,17329.0,17330.0,17188.80078125,17329.0,0
2026-04-27,17246.0,17246.0,17246.0,17192.0,17246.0,0
2026-04-28,17216.0,17216.0,17278.5,17163.80078125,17216.0,0
2026-04-29,17244.0,17244.0,17380.0,17244.0,17244.0,0
2026-04-30,17334.19921875,17334.19921875,17388.19921875,17267.099609375,17334.19921875,0
2026-05-01,17311.0,17311.0,17358.599609375,17248.80078125,17311.0,0
2026-05-04,17288.5,17288.5,17415.0,17306.80078125,17327.0,0
2026-05-05,17346.19921875,17346.19921875,17449.099609375,17346.19921875,17346.19921875,0
2026-05-06,17389.80078125,17389.80078125,17414.900390625,17238.900390625,17389.80078125,0
2026-05-07,17296.900390625,17296.900390625,17367.599609375,17271.099609375,17296.900390625,0
2026-05-08,17294.900390625,17294.900390625,17395.30078125,17267.30078125,17294.900390625,0
2026-05-11,17358.0,17358.0,17435.69921875,17258.400390625,17358.0,0
2026-05-12,17413.0,17413.0,17533.5,17413.0,17413.0,0
2026-05-13,17549.0,17549.0,17555.19921875,17436.900390625,17465.30078125,0
2026-05-14,17500.0,17500.0,17544.0,17400.69921875,17498.099609375,0
2026-05-15,17530.599609375,17530.599609375,17608.0,17509.0,17517.599609375,0
2026-05-18,17586.0,17586.0,17708.69921875,17519.19921875,17586.0,0
2026-05-19,17701.0,17701.0,17764.0,17648.80078125,17701.0,0
2026-05-20,17777.0,17777.0,17797.0,17539.69921875,17708.5,0
2026-05-21,17658.400390625,17658.400390625,17726.0,17616.19921875,17654.30078125,0
2026-05-22,17692.0,17692.0,17723.099609375,17605.19921875,17694.0,0
2026-05-25,17692.0,17692.0,17756.400390625,17656.400390625,17692.0,0
2026-05-26,17762.0,17762.0,17868.19921875,17717.5,17754.099609375,0
2026-05-27,17699.69921875,17699.69921875,17870.0,17756.19921875,17848.0,0
2026-05-28,17804.0,17804.0,17898.0,17768.099609375,17815.0,0
2026-05-29,17840.0,17840.0,17899.19921875,17772.400390625,17811.400390625,0
